SalesOrderLineKey,ResellerKey,CustomerKey,ProductKey,OrderDateKey,DueDateKey,ShipDateKey,SalesTerritoryKey,Order Quantity,Unit Price,Extended Amount,Unit Price Discount Pct,Product Standard Cost,Total Product Cost,Sales Amount
43659001,676,-1,349,20170702,20170712,20170709,5,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43659002,676,-1,350,20170702,20170712,20170709,5,3,2024.994,6074.982,0,1898.0944,5694.2832,6074.982
43659003,676,-1,351,20170702,20170712,20170709,5,1,2024.994,2024.994,0,1898.0944,1898.0944,2024.994
43659004,676,-1,344,20170702,20170712,20170709,5,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43659005,676,-1,345,20170702,20170712,20170709,5,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43659006,676,-1,346,20170702,20170712,20170709,5,2,2039.994,4079.988,0,1912.1544,3824.3088,4079.988
43659007,676,-1,347,20170702,20170712,20170709,5,1,2039.994,2039.994,0,1912.1544,1912.1544,2039.994
43659008,676,-1,229,20170702,20170712,20170709,5,3,28.8404,86.5212,0,31.7244,95.1732,86.5212
43659009,676,-1,235,20170702,20170712,20170709,5,1,28.8404,28.8404,0,31.7244,31.7244,28.8404
43659010,676,-1,218,20170702,20170712,20170709,5,6,5.7,34.2,0,3.3963,20.3778,34.2
43659011,676,-1,223,20170702,20170712,20170709,5,2,5.1865,10.373,0,5.7052,11.4104,10.373
43659012,676,-1,220,20170702,20170712,20170709,5,4,20.1865,80.746,0,12.0278,48.1112,80.746
43660001,117,-1,326,20170705,20170715,20170712,5,1,419.4589,419.4589,0,413.1463,413.1463,419.4589
43660002,117,-1,319,20170705,20170715,20170712,5,1,874.794,874.794,0,884.7083,884.7083,874.794
43661001,442,-1,300,20170705,20170715,20170712,6,1,809.76,809.76,0,699.0928,699.0928,809.76
43661002,442,-1,296,20170705,20170715,20170712,6,1,714.7043,714.7043,0,617.0281,617.0281,714.7043
43661003,442,-1,304,20170705,20170715,20170712,6,2,714.7043,1429.4086,0,617.0281,1234.0562,1429.4086
43661004,442,-1,223,20170705,20170715,20170712,6,4,5.1865,20.746,0,5.7052,22.8208,20.746
43661005,442,-1,232,20170705,20170715,20170712,6,4,28.8404,115.3616,0,31.7244,126.8976,115.3616
43661006,442,-1,293,20170705,20170715,20170712,6,2,722.5949,1445.1898,0,623.8403,1247.6806,1445.1898
43661007,442,-1,348,20170705,20170715,20170712,6,3,2024.994,6074.982,0,1898.0944,5694.2832,6074.982
43661008,442,-1,351,20170705,20170715,20170712,6,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43661009,442,-1,220,20170705,20170715,20170712,6,2,20.1865,40.373,0,12.0278,24.0556,40.373
43661010,442,-1,292,20170705,20170715,20170712,6,2,818.7,1637.4,0,706.811,1413.622,1637.4
43661011,442,-1,349,20170705,20170715,20170712,6,4,2024.994,8099.976,0,1898.0944,7592.3776,8099.976
43661012,442,-1,346,20170705,20170715,20170712,6,2,2039.994,4079.988,0,1912.1544,3824.3088,4079.988
43661013,442,-1,235,20170705,20170715,20170712,6,2,28.8404,57.6808,0,31.7244,63.4488,57.6808
43661014,442,-1,350,20170705,20170715,20170712,6,2,2024.994,4049.988,0,1898.0944,3796.1888,4049.988
43661015,442,-1,215,20170705,20170715,20170712,6,5,20.1865,100.9325,0,12.0278,60.139,100.9325
43662001,227,-1,330,20170707,20170717,20170714,6,3,419.4589,1258.3767,0,413.1463,1239.4389,1258.3767
43662002,227,-1,342,20170707,20170717,20170714,6,5,419.4589,2097.2945,0,413.1463,2065.7315,2097.2945
43662003,227,-1,272,20170707,20170717,20170714,6,2,183.9382,367.8764,0,181.4857,362.9714,367.8764
43662004,227,-1,315,20170707,20170717,20170714,6,4,874.794,3499.176,0,884.7083,3538.8332,3499.176
43662005,227,-1,262,20170707,20170717,20170714,6,3,183.9382,551.8146,0,181.4857,544.4571,551.8146
